key,value
tag,dblp_schur_pcg
method,schur
n_users,317080
n_groups,5136
alpha,2.2000000000000002
s_min,1
s_max,50
user_mean,3
user_r_max,20
ug_normalize_groups,1
su_distribution,uniform
exp_lambda,1
power_alpha,2
power_min,1
power_max,100
k_ws,6
p_ws,0.10000000000000001
user_graph_weight,0.15100974791055433
user_graph_scale,1
group_graph_scale,1
enable_group_graph,0
group_overlap_threshold,0.5
group_graph_target_mean_degree,1
lambda_user,1
lambda_group,0.10000000000000001
reference_xu,
save_xu,
trace_csv,
outer_max_iters,1000
outer_tol,0.0001
inner_max_iters,1000
inner_tol,0.0001
bli_max_updates,0
bli_omega,1.5
pf_sample_users,10000
pf_sample_edges,10000
pf_forest_samples,1000
pf_max_walk_steps,1000000
clique_use_weights,0
schur_jacobi,1
full_system_jacobi,1
direct_max_dim,50000
seed,1
outer_iters,15
inner_iters,567
local_updates,0
inner_seconds,0.021465872000000004
seconds,0.25689684699999998
relative_residual,5.4546712290853262e-05
full_relative_residual,nan
disagreement,264.94580940998145
internal_conflict,271.24712553682031
polarization,629.04337226892198
controversy,1046.4545070585748
node_mean_absolute_error,nan
node_max_absolute_error,nan
node_relative_l2_error,nan
peak_memory_mb,94.26953125
inner_alpha_max,0.97605535237647534
inner_condition_bound,82.525973380167002
nnz_w,661639
max_s_g,1.0000000000001761
sum_s_g_sq,5135.9964695754616
user_cross_deg_mean,0.01619779940132066
user_cross_deg_max,1.1928510103491323
group_cross_deg_mean,0.99999965618602793
group_cross_deg_max,1.0000000000001761
user_graph_deg_mean,0.99999999999984179
user_graph_deg_max,51.796343533364983
group_graph_deg_mean,1
group_graph_deg_max,44.839285359092003
sampled_users,0
sampled_edges,0
forest_samples,0
walk_steps,0
