key,value
tag,default
method,schur
n_users,1000000
n_groups,500000
alpha,2.2000000000000002
s_min,1
s_max,50
user_mean,3
user_r_max,20
ug_normalize_groups,1
su_distribution,uniform
exp_lambda,1
power_alpha,2
power_min,1
power_max,100
k_ws,6
p_ws,0.10000000000000001
user_graph_weight,0.16666666666666666
enable_group_graph,0
group_overlap_threshold,0.5
group_graph_target_mean_degree,1
lambda_user,1
lambda_group,0.0001
outer_max_iters,200
outer_tol,1e-08
inner_max_iters,200
inner_tol,1e-08
clique_use_weights,0
schur_jacobi,1
full_system_jacobi,1
direct_max_dim,50000
seed,1
outer_iters,13
inner_iters,0
inner_seconds,0.012006838999999998
seconds,0.56395655
relative_residual,5.5887652476260562e-09
disagreement,17332.205660356572
internal_conflict,22102.61786214307
polarization,22615.149605390649
controversy,272536.69837516535
nnz_w,1116791
max_s_g,50
sum_s_g_sq,9438317
user_cross_deg_mean,0.49999999999986044
user_cross_deg_max,6.2000000000000002
group_cross_deg_mean,1
group_cross_deg_max,1.0000000000000007
user_graph_deg_mean,1.0000000000000728
user_graph_deg_max,1.8333333333333335
group_graph_deg_mean,0
group_graph_deg_max,0
